id,id,name,distance,mass,radius
177,177,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999
178,178,TWA 26,137.0,0.028637640000000002,0.2260786
180,180,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445
181,181,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763
184,184,2MASS J12074836-3900043,217.0,0.016227996,0.17572473
185,185,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659721999999998
188,188,2M 1237+6526,45.6,0.039138108,0.09659721999999998
190,190,TWA 29,262.0,0.0238647,0.205526
191,191,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070773999999999
192,192,Kelu-1A,61.0,0.060139044,0.10070773999999999
193,193,Kelu-1B,61.0,0.055366104,0.10070773999999999
194,194,2MASS J13204427+0409045,101.0,0.063957396,0.10379063
195,195,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.09968010999999999
196,196,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659721999999998
197,197,2MASS J13595510-4034582,51.0,0.060139044,0.102763
198,198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999
199,199,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173536999999999
200,200,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716
201,201,LHS 2924,38.5,0.072548688,0.10892878
202,202,2MASS J14392837+1929150,47.0,0.068730336,0.10584589
203,203,LSPM J1440+1339,72.0,0.087822096,0.12228796999999998
204,204,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173536999999999
205,205,CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445
206,206,CFBDSIR 1458+10B,104.0,0.008591292,0.13359189999999999
207,207,TVLM 513-46546,35.1,0.07159410000000001,0.10790115
208,208,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998
209,209,CFBDS J150411+102717,71.0,0.042001872,0.09659721999999998
210,210,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826
211,211,2MASS 1507−1627,23.9,0.057275280000000005,0.10173536999999999
212,212,TVLM 868-110639,53.0,0.075412452,0.11098404
214,214,2MASSW J1515008+484742 [de],34.0,0.054411516,0.10173536999999999
215,215,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070773999999999
216,216,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763
217,217,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659721999999998
218,218,2MASSW J1552591+294849 [de],68.0,0.028637640000000002,0.14695108999999998
219,219,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589
220,220,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.09659721999999998
221,221,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.09659721999999998
222,222,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589
223,223,2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968010999999999
224,224,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659721999999998
225,225,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352
226,226,2MASSI J1726000+153819,114.0,0.022910112,0.14386819999999997
228,228,SDSSp J175032.96+175903.9,90.0,0.044865636,0.09968010999999999
229,229,2MASS J18283572-4849046,39.0,0.04295646,0.09762484999999999
230,230,LSR J1835+3259,18.5,0.073503276,0.10995641
231,231,2MASSW J1841086+311727,138.0,0.063957396,0.10379063
232,232,2MASS J18432213+4040209,46.0,0.091640448,0.12537086
233,233,2MASS J20004841-7523070,105.0,0.0238647,0.19319443999999997
234,234,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865247999999999
235,235,2MASSI J2057540-025230,47.0,0.06682116,0.10481826
237,237,2MASSI J2104149-103736,62.0,0.065866572,0.10481826
238,238,PSO J318.5−22,80.0,0.0062048220000000005,0.15722739
239,239,HB 2124-4228,113.0,0.089731272,0.12434322999999999
240,240,2MASS J21392676+0220226,32.1,0.043911048,0.09865247999999999
241,241,2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999
243,243,2MASSW J2206450-421721,93.0,0.021000936,0.13667479
244,244,2MASSW J2208136+292121,154.0,0.025773876,0.14489582999999998
245,245,2MASSW J2224438-015852,38.0,0.058229868000000004,0.10173536999999999
246,246,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659721999999998
